MR,List_INV_Cancers,No_INV_Cancers
FBXL15,HNSC LIHC THCA,3
ECM1,HNSC DLBC LIHC,3
HDAC10,HNSC LIHC THCA,3
ZNF771,HNSC LIHC THCA,3
ZC3H8,HNSC LIHC THCA,3
ETV2,HNSC LIHC THCA,3
BOLA1,HNSC LIHC THCA,3
MRPL12,HNSC LIHC THCA,3
ZNF789,HNSC LIHC THCA,3
KIT,HNSC LIHC THCA,3
TAF6L,HNSC LIHC THCA,3
ADIRF,HNSC LIHC THCA,3
GPS2,HNSC LIHC THCA,3
ZNF337,HNSC LIHC THCA,3
KLF5,HNSC LIHC THCA,3
PIR,HNSC LIHC THCA,3
S100A9,HNSC LIHC THCA,3
MACC1,HNSC LIHC THCA,3
SEC14L2,HNSC LIHC THCA,3
MAPK13,HNSC LIHC THCA,3
HSF4,HNSC LIHC THCA,3
ELF3,HNSC LIHC THCA,3
EHF,HNSC LIHC THCA,3
CDK5RAP3,HNSC LIHC THCA,3
PERM1,HNSC LIHC THCA,3
S100A8,HNSC LIHC THCA,3
ZNF593,HNSC LIHC THCA,3
TRIM52,HNSC LIHC THCA,3
ALKBH4,HNSC LIHC THCA,3
ELOB,HNSC LIHC THCA,3
SARNP,HNSC LIHC THCA,3
TEFM,HNSC LIHC THCA,3
TCF19,HNSC LIHC THCA,3
BHLHE22,HNSC LIHC THCA,3
ZNF688,HNSC LIHC THCA,3
EFCAB6,HNSC LIHC THCA,3
MAPK10,HNSC LIHC THCA,3
ETV7,HNSC DLBC THCA,3
ZNF23,HNSC LIHC THCA,3
NBL1,HNSC DLBC THCA,3
EDNRB,HNSC LIHC THCA,3
FAM200B,HNSC LIHC THCA,3
TSFM,HNSC LIHC THCA,3
HCLS1,HNSC LIHC THCA,3
THAP9,HNSC LIHC THCA,3
POLR3F,HNSC LIHC THCA,3
GLI4,HNSC LIHC THCA,3
FOXP3,HNSC DLBC THCA,3
ZNF324B,HNSC LIHC THCA,3
HCK,HNSC LIHC THCA,3
KDM4D,HNSC LIHC THCA,3
CPEB3,HNSC LIHC THCA,3
CAV1,HNSC LIHC THCA,3
CAVIN1,HNSC DLBC LIHC,3
ARMCX3,HNSC LIHC THCA,3
SPATA24,HNSC LIHC THCA,3
LPIN3,HNSC LIHC THCA,3
AIM2,HNSC LIHC THCA,3
ZFPL1,HNSC LIHC THCA,3
SOX4,HNSC LIHC THCA,3
NFKBIL1,HNSC LIHC THCA,3
RECQL5,HNSC LIHC THCA,3
ZNF696,HNSC LIHC THCA,3
PARP9,HNSC DLBC THCA,3
PBX4,HNSC LIHC THCA,3
RORA,DLBC LIHC THCA,3
CD3D,DLBC LIHC THCA,3
CD40LG,DLBC LIHC THCA,3
MDFI,DLBC LIHC THCA,3
NOTCH3,DLBC LIHC THCA,3
ZNF862,DLBC LIHC THCA,3
ZNF831,DLBC LIHC THCA,3
PLPP3,HNSC THCA,2
ACTN1,HNSC THCA,2
ETS1,HNSC LIHC,2
PRKCB,HNSC LIHC,2
TCF4,HNSC LIHC,2
ZNF423,HNSC LIHC,2
ACVR1,HNSC THCA,2
SALL2,HNSC THCA,2
NFAM1,HNSC LIHC,2
HTRA1,HNSC DLBC,2
FLI1,HNSC LIHC,2
PRKAA2,HNSC THCA,2
ACTN2,HNSC LIHC,2
ENG,HNSC LIHC,2
BASP1,HNSC LIHC,2
EBF2,HNSC THCA,2
PDE2A,HNSC THCA,2
BEND5,HNSC THCA,2
SLC11A1,HNSC THCA,2
TSHZ3,HNSC LIHC,2
DLL4,HNSC THCA,2
OSM,HNSC LIHC,2
TWIST1,HNSC THCA,2
TGFB2,HNSC LIHC,2
FOXS1,HNSC LIHC,2
FZD4,HNSC THCA,2
FZD1,HNSC LIHC,2
RELN,HNSC THCA,2
CYR61,HNSC LIHC,2
RFX8,HNSC THCA,2
APLN,HNSC THCA,2
ZNF653,HNSC LIHC,2
RHOQ,HNSC LIHC,2
GTF2IRD2,HNSC LIHC,2
RUVBL2,HNSC THCA,2
REXO4,HNSC LIHC,2
CENPF,HNSC THCA,2
CCNA2,HNSC THCA,2
MED27,HNSC LIHC,2
EDF1,HNSC LIHC,2
ZNF511,HNSC LIHC,2
ZNF276,HNSC LIHC,2
PSMB7,HNSC LIHC,2
FASLG,HNSC DLBC,2
BIRC5,HNSC THCA,2
ZNF446,HNSC THCA,2
BRCA1,HNSC LIHC,2
PIK3R2,HNSC LIHC,2
ORC1,HNSC THCA,2
PTGES2,HNSC THCA,2
E2F1,HNSC LIHC,2
ZNF367,HNSC LIHC,2
AURKB,HNSC THCA,2
TOP2A,HNSC THCA,2
ZC3H12A,HNSC LIHC,2
ELP6,HNSC LIHC,2
PIN1,HNSC LIHC,2
DLGAP5,HNSC THCA,2
UXT,HNSC LIHC,2
CENPT,HNSC THCA,2
WDHD1,HNSC THCA,2
IRF9,HNSC THCA,2
SS18L2,HNSC LIHC,2
AGER,HNSC LIHC,2
BOLA3,HNSC THCA,2
GTF2H4,HNSC LIHC,2
APBB3,HNSC LIHC,2
CCNL2,HNSC LIHC,2
DNAJC17,HNSC LIHC,2
PABPC1L,HNSC LIHC,2
DPY30,HNSC LIHC,2
MED7,HNSC LIHC,2
SLIRP,HNSC LIHC,2
ZNF692,HNSC LIHC,2
SCAND1,HNSC LIHC,2
PSMB8,HNSC THCA,2
TGFA,HNSC LIHC,2
PSMD6,HNSC LIHC,2
EPCAM,HNSC LIHC,2
GTF2F2,HNSC LIHC,2
CCNQ,HNSC THCA,2
ZBTB26,HNSC THCA,2
ATP8B1,HNSC THCA,2
NELFE,HNSC LIHC,2
FERD3L,HNSC LIHC,2
TAF10,HNSC LIHC,2
TMEM100,HNSC THCA,2
FOXM1,HNSC THCA,2
E4F1,HNSC LIHC,2
SEM1,HNSC LIHC,2
UTP15,HNSC LIHC,2
UHRF1,HNSC THCA,2
KAT2A,HNSC LIHC,2
RRP8,HNSC LIHC,2
ZNF77,HNSC THCA,2
MED31,HNSC LIHC,2
NUFIP1,HNSC LIHC,2
PIAS2,HNSC THCA,2
PLSCR1,HNSC THCA,2
PLXND1,HNSC LIHC,2
ZGLP1,HNSC LIHC,2
STK16,HNSC LIHC,2
WDR5,HNSC LIHC,2
CBY1,HNSC THCA,2
HIST1H2AM,HNSC LIHC,2
CARF,HNSC LIHC,2
PPIE,HNSC THCA,2
ZNF576,HNSC LIHC,2
THAP3,HNSC THCA,2
DMAP1,HNSC LIHC,2
DNAJA3,HNSC THCA,2
PSMC5,HNSC LIHC,2
MYBL2,HNSC THCA,2
GTF2H2C,HNSC LIHC,2
PTH,HNSC LIHC,2
NR2F2,HNSC DLBC,2
ZNF524,HNSC LIHC,2
SS18L1,HNSC LIHC,2
WDR75,HNSC LIHC,2
ZNF10,HNSC THCA,2
PCBD1,HNSC LIHC,2
PKIA,HNSC THCA,2
TADA1,HNSC LIHC,2
WDR61,HNSC LIHC,2
ZNF133,HNSC LIHC,2
CHEK1,HNSC LIHC,2
RNF25,HNSC LIHC,2
ZGPAT,HNSC THCA,2
PRDX5,HNSC THCA,2
SAP18,HNSC LIHC,2
SSU72,HNSC THCA,2
PYCARD,HNSC LIHC,2
TRIP13,HNSC THCA,2
TADA2A,HNSC LIHC,2
ZNF554,HNSC LIHC,2
FOXO1,HNSC THCA,2
STAT1,DLBC THCA,2
IRF1,DLBC THCA,2
DDX58,DLBC THCA,2
STAT4,DLBC THCA,2
XCL1,DLBC THCA,2
ZMYND11,DLBC THCA,2
BCL11B,DLBC LIHC,2
NOD2,DLBC THCA,2
ARID5A,DLBC THCA,2
SEMA4D,DLBC LIHC,2
PARP14,DLBC THCA,2
ITGA3,LIHC THCA,2
LGALS9,LIHC THCA,2
JAG1,LIHC THCA,2
PTAFR,LIHC THCA,2
RHOH,LIHC THCA,2
VAV1,LIHC THCA,2
GLI2,LIHC THCA,2
ANXA3,LIHC THCA,2
SLA2,LIHC THCA,2
PRDM16,LIHC THCA,2
F2RL1,LIHC THCA,2
CIITA,LIHC THCA,2
RELB,LIHC THCA,2
FOXF1,LIHC THCA,2
POU2AF1,LIHC THCA,2
SPIB,LIHC THCA,2
NRIP2,LIHC THCA,2
IL33,LIHC THCA,2
ZBTB3,LIHC THCA,2
ZNF18,LIHC THCA,2
EID2B,LIHC THCA,2
HEXIM2,LIHC THCA,2
SIRT5,LIHC THCA,2
PELI1,LIHC THCA,2
HLF,LIHC THCA,2
WNT4,LIHC THCA,2
MSRB2,LIHC THCA,2
FEZF2,LIHC THCA,2
DNMT1,LIHC THCA,2
RXRB,LIHC THCA,2
PIM2,LIHC THCA,2
HOXB2,LIHC THCA,2
IFT74,LIHC THCA,2
PRNP,LIHC THCA,2
CDK5,LIHC THCA,2
ZNF599,LIHC THCA,2
UBE2V1,LIHC THCA,2
ZBED8,LIHC THCA,2
MYO6,LIHC THCA,2
SOX18,LIHC THCA,2
THAP7,LIHC THCA,2
PLK3,LIHC THCA,2
TRIM22,LIHC THCA,2
ZNF76,LIHC THCA,2
ELF4,LIHC THCA,2
