MR & FC_Median & Pval
PSMB7 & -0.042 & 1.33547811225618e-13
PSMD6 & -0.043 & 1.12374664501069e-16
RFX8 & -0.043 & 9.42324609307069e-09
MED27 & -0.044 & 4.45910256927274e-13
PIK3R2 & -0.048 & 7.52693409465201e-15
CHEK1 & -0.049 & 6.01263396213003e-17
UXT & -0.049 & 6.85165089834527e-22
PSMC5 & -0.057 & 3.52401218276278e-28
MED7 & -0.058 & 2.22822631811847e-23
COMMD1 & -0.061 & 5.28310418658833e-30
DNAJC17 & -0.062 & 1.07707493786559e-22
CENPT & -0.065 & 1.00111657010968e-25
ADIRF & -0.066 & 1.25793172414556e-20
CCNL2 & -0.067 & 1.18196720157623e-35
AGER & -0.068 & 1.01455004381036e-30
CARF & -0.068 & 7.74530454507022e-37
RNF25 & -0.068 & 1.85332252455975e-29
ZFPL1 & -0.069 & 3.38195928771828e-19
ZNF23 & -0.069 & 6.49755848221484e-26
ZNF367 & -0.069 & 1.54180560427888e-32
ZNF524 & -0.069 & 1.81607308562083e-35
SEM1 & -0.07 & 3.47797200945413e-35
BRCA1 & -0.072 & 3.41410676919555e-32
EFCAB6 & -0.072 & 4.81154927923871e-21
CCNQ & -0.074 & 2.60636742302412e-31
SLIRP & -0.074 & 7.31253792827699e-33
WDR5 & -0.074 & 5.88372562058511e-29
SAP18 & -0.075 & 1.52652761471539e-36
APLN & -0.076 & 1.77694273372541e-27
DPY30 & -0.077 & 4.37271726066011e-42
MSRB2 & -0.077 & 2.61789776221211e-30
PIAS2 & -0.077 & 2.65183011659341e-23
SS18L2 & -0.077 & 5.42709538246116e-33
ZNF554 & -0.077 & 5.82452414389271e-27
RRP8 & -0.078 & 5.82578921768756e-33
DMAP1 & -0.079 & 2.09945425851104e-35
ELOB & -0.08 & 1.32852586283586e-45
GTF2H2C & -0.08 & 8.37372366901197e-36
WDR61 & -0.08 & 2.02188051213178e-30
ZNF576 & -0.08 & 7.18578012091887e-34
BOLA3 & -0.081 & 6.46819808391606e-42
NDUFA13 & -0.081 & 4.79228372888704e-49
ZNF688 & -0.081 & 4.13466674289782e-36
CBY1 & -0.083 & 5.88372562058511e-29
SS18L1 & -0.083 & 1.69875973405996e-54
ZNF337 & -0.083 & 2.81072530131669e-49
ZNF862 & -0.083 & 5.24878593781173e-25
ZNF696 & -0.084 & 1.48009001302565e-38
ZNF133 & -0.085 & 4.85025601954764e-37
PBX4 & -0.086 & 1.13993554021712e-10
UBE2V1 & -0.086 & 1.36256830933942e-30
APBB3 & -0.087 & 3.34417638900405e-39
ZNF692 & -0.087 & 1.83706127596512e-54
RXRB & -0.089 & 9.1642822136208e-48
ZNF276 & -0.089 & 3.45276316497024e-46
PIR & -0.09 & 3.76229160471471e-41
KAT2A & -0.091 & 6.30633229369543e-53
MED11 & -0.091 & 1.60101192653308e-41
SARNP & -0.091 & 1.90960550391736e-54
STK16 & -0.093 & 8.13937703497755e-38
ZBTB26 & -0.093 & 6.57674987542875e-36
ZNF18 & -0.093 & 3.93545848966393e-40
CDK5RAP3 & -0.094 & 2.32484118025588e-52
PPIE & -0.095 & 5.73382114740585e-28
ZNF599 & -0.095 & 7.58368232053203e-32
FBXL15 & -0.096 & 1.33959502377378e-51
PRDX5 & -0.096 & 7.34684234978836e-41
PTGES2 & -0.097 & 2.198670380365e-44
GTF2IRD2 & -0.098 & 2.17937937863798e-38
GTF2IRD2B & -0.098 & 5.14690275339893e-49
TADA2A & -0.098 & 6.02127321548829e-47
RUVBL2 & -0.099 & 4.14856939414212e-44
PCBD1 & -0.1 & 5.80324453418592e-46
TADA1 & -0.101 & 8.94179792768851e-40
ZNF511 & -0.101 & 1.77920068092572e-56
GTF2H4 & -0.102 & 3.18184133166811e-53
KDM4D & -0.102 & 7.89961348751684e-42
SNAPC5 & -0.102 & 1.68927811047941e-40
LPIN3 & -0.103 & 3.37923029659845e-49
MRPL12 & -0.104 & 2.19339220647498e-61
CDK5 & -0.106 & 7.66818011244873e-50
EDF1 & -0.106 & 3.18184133166811e-53
ZNF10 & -0.106 & 8.04556912078218e-50
DNAJA3 & -0.108 & 1.92142413648076e-58
TAF6L & -0.108 & 4.32937166307681e-60
ZNF324B & -0.109 & 1.11156595559221e-61
RECQL5 & -0.11 & 8.99055982535992e-69
HSF4 & -0.111 & 1.26385268450757e-82
SSU72 & -0.111 & 6.62110312808169e-42
ZNF593 & -0.111 & 3.74561744857346e-56
E4F1 & -0.112 & 2.26526154108438e-66
MED31 & -0.112 & 1.91357695874378e-51
TRIM52 & -0.113 & 1.93542787958299e-48
TSFM & -0.113 & 3.41789682684343e-47
ZNF789 & -0.113 & 1.10048196530481e-67
CPEB3 & -0.114 & 1.17659705290039e-53
IFT74 & -0.115 & 4.68919177233631e-54
SIRT5 & -0.115 & 1.06383848275768e-36
UTP15 & -0.115 & 1.90562358443534e-71
METTL23 & -0.116 & 2.7570540902742e-59
THAP7 & -0.116 & 6.95610393537621e-42
ZNF771 & -0.116 & 5.40425026496976e-52
HLF & -0.118 & 1.24755475112869e-53
ZNF77 & -0.118 & 1.40920349401162e-52
TEFM & -0.119 & 2.26526154108438e-66
POLR3F & -0.121 & 1.04714759185584e-56
ZGPAT & -0.121 & 1.25058755921113e-41
ELP6 & -0.122 & 8.14169430056327e-64
ZNF446 & -0.123 & 1.30841170405581e-35
SPATA24 & -0.124 & 2.17990454579482e-51
GPS2 & -0.126 & 2.5344081363172e-84
NFKBIL1 & -0.126 & 1.28374680744993e-66
HEXIM2 & -0.128 & 1.5881299403874e-64
ALKBH4 & -0.129 & 2.94088678255155e-66
FEZF2 & -0.129 & 6.02639452947615e-58
HDAC10 & -0.129 & 3.1994440115403e-62
BOLA1 & -0.131 & 8.14169430056327e-64
ZGLP1 & -0.133 & 3.55558435556453e-50
EID2B & -0.134 & 1.53053196584622e-41
GLI4 & -0.134 & 3.94751322400802e-56
ZNF76 & -0.137 & 4.45856706586073e-53
ZNF837 & -0.137 & 5.17479711072892e-80
ZNF653 & -0.138 & 1.61853332255417e-67
HIST1H2AM & -0.139 & 9.56441731482877e-43
THAP3 & -0.139 & 3.65845563499239e-68
ZC3H8 & -0.139 & 5.08369058620471e-76
FERD3L & -0.14 & 1.39472159701628e-54
ETV2 & -0.141 & 2.09695360349061e-83
FAM200B & -0.141 & 1.86938663266373e-66
ZBED8 & -0.144 & 2.04292331645254e-45
NUFIP1 & -0.146 & 1.90562358443534e-71
PTH & -0.154 & 1.77920068092572e-56
THAP9 & -0.154 & 1.19031715172315e-67
ZBTB3 & -0.176 & 3.30371594416694e-77
