Pval,Mean1,Mean2,FC_Mean,Padjust
PLEK,2.68e-108,0.035,-0.041,0.076,2.61e-107
CD4,8.75e-110,0.035,-0.041,0.076,9.1e-109
AGER,2.95e-110,-0.033,0.03,-0.064,3.29e-109
IL16,7.94e-111,0.038,-0.044,0.082,9.53e-110
TNFAIP3,3.52e-112,0.04,-0.048,0.088,4.58e-111
CMKLR1,1.97e-114,0.035,-0.041,0.076,2.79e-113
MEIS3,1.58e-114,0.036,-0.045,0.081,2.47e-113
DCN,1.7e-115,0.038,-0.046,0.084,2.94e-114
OSM,1.27e-120,0.041,-0.048,0.089,2.48e-119
PRRX1,3.62e-121,0.037,-0.042,0.079,8.06e-120
FLI1,2.83e-125,0.036,-0.044,0.08,7.36e-124
ICAM1,3.92e-127,0.04,-0.048,0.088,1.22e-125
CAVIN1,4.78e-135,0.04,-0.049,0.089,1.87e-133
MSC,2.01e-135,0.04,-0.047,0.087,1.05e-133
TGFB1I1,4.73e-148,0.043,-0.053,0.096,3.69e-146
IL6,4.57e-149,0.048,-0.054,0.102,7.12e-147
