MR,Adj_Pval,Adj.Pval
TMEM100,6.58608290514868e-31,6.58608290514868e-31
IGF2,1.97100865865038e-71,1.97100865865038e-71
IL16,4.37567864645312e-71,4.37567864645312e-71
TFEC,7.00866267581401e-66,7.00866267581401e-66
CD86,2.19339220647498e-61,2.19339220647498e-61
PLEK,1.07070344329967e-67,1.07070344329967e-67
RELB,2.02243293558536e-55,2.02243293558536e-55
ZNF469,1.72635723847862e-94,1.72635723847862e-94
PRRX1,2.00292755868913e-81,2.00292755868913e-81
TGFB3,2.9635889060003e-87,2.9635889060003e-87
TGFB2,1.73572434748849e-71,1.73572434748849e-71
PLXND1,3.14122444793337e-52,3.14122444793337e-52
SPI1,6.55900911320252e-83,6.55900911320252e-83
ITGB2,1.44664053997408e-67,1.44664053997408e-67
BNC2,1.02003819072504e-69,1.02003819072504e-69
FZD1,5.20648138121733e-68,5.20648138121733e-68
DAB2,3.63155275173937e-82,3.63155275173937e-82
BASP1,2.3763937076932e-76,2.3763937076932e-76
FSTL1,1.25851515758961e-96,1.25851515758961e-96
SERPINE1,4.53017421365196e-73,4.53017421365196e-73
HTRA3,6.67964660524578e-75,6.67964660524578e-75
CAVIN1,3.72590295009713e-64,3.72590295009713e-64
LZTS1,2.52328880062066e-77,2.52328880062066e-77
PELI1,3.04191916382741e-31,3.04191916382741e-31
F2RL1,6.90060855316791e-48,6.90060855316791e-48
PTAFR,4.14856939414212e-44,4.14856939414212e-44
OSM,1.11220407173633e-50,1.11220407173633e-50
ITGA3,1.29346730154805e-57,1.29346730154805e-57
CAV1,1.14281259344839e-45,1.14281259344839e-45
SPIB,2.05001527389524e-41,2.05001527389524e-41
ARMCX3,6.29202326623083e-57,6.29202326623083e-57
HAVCR2,9.01405020395187e-63,9.01405020395187e-63
LILRB4,1.55127778033556e-79,1.55127778033556e-79
SOX4,1.4628456916311e-60,1.4628456916311e-60
SPP1,6.11515273425852e-64,6.11515273425852e-64
ANXA3,5.875198475107e-08,5.875198475107e-08
MUC1,0.00634642887202246,0.00634642887202246
SDR16C5,0.00641788330750708,0.00641788330750708
DNMT1,8.12454084289263e-19,8.12454084289263e-19
MAPK13,5.68910947025981e-07,5.68910947025981e-07
KLF5,1.37503680296729e-07,1.37503680296729e-07
PYCARD,5.84759673260425e-11,5.84759673260425e-11
PSMB8,0.0221295500424126,0.0221295500424126
ETV7,0.00360110307413413,0.00360110307413413
PERM1,0.00513022253455572,0.00513022253455572
PLSCR1,1.08132706107105e-10,1.08132706107105e-10
S100A9,4.97092154205654e-10,4.97092154205654e-10
AIM2,5.0656954130269e-09,5.0656954130269e-09
ELF3,1.53342618084316e-09,1.53342618084316e-09
SLC11A1,3.93911373394637e-16,3.93911373394637e-16
E2F1,0.0176102156144094,0.0176102156144094
CENPF,2.7715308006914e-07,2.7715308006914e-07
MYBL2,1.40724811752864e-08,1.40724811752864e-08
WDHD1,0.0140507596994738,0.0140507596994738
AURKB,0.0477401763110944,0.0477401763110944
FOXM1,0.000833562482467071,0.000833562482467071
FOXP3,1.12473860251981e-23,1.12473860251981e-23
TRIP13,4.84643962845512e-08,4.84643962845512e-08
TOP2A,7.67770565832742e-13,7.67770565832742e-13
PIM2,3.630667868487e-24,3.630667868487e-24
