"Pval" "Mean1" "Mean2" "FC_Mean" "Padjust"
"PSMB9" 0.000132 -0.019 0.013 -0.032 0.00049
"PTGES2" 1.06e-05 -0.042 0.025 -0.066 4.88e-05
"PYHIN1" 0.0101 -0.018 0.009 -0.028 0.0243
"RBM39" 0.254 -0.008 0.002 -0.009 0.421
"RECQL5" 1.43e-08 -0.033 0.024 -0.058 1.86e-07
"RHOH" 0.105 0.008 -0.012 0.02 0.203
"S100A9" 0.105 -0.019 0.003 -0.021 0.203
"S1PR1" 1.07e-07 0.027 -0.031 0.058 1.05e-06
"SAP18" 0.00287 -0.019 0.011 -0.029 0.008
"SARNP" 1 0 0 0 1
"SFRP4" 1.56e-05 0.024 -0.031 0.055 6.6e-05
"SLC11A1" 0.12 -0.014 0.003 -0.016 0.225
"SLIRP" 0.277 -0.006 0.001 -0.006 0.449
"SMO" 0.0288 0.008 -0.016 0.024 0.0633
"SOX17" 0.0909 0.005 -0.013 0.018 0.179
"SOX18" 1 0 0 0 1
"SPI1" 0.0233 0.01 -0.018 0.028 0.0526
"STK36" 1 0 0 0 1
"SULF1" 1.77e-11 0.041 -0.044 0.086 9.21e-10
"TAF1C" 0.111 0.007 -0.016 0.022 0.21
"TAF1D" 2.59e-05 -0.033 0.02 -0.053 0.000104
"TCEA3" 1 0 0 0 1
"TFEC" 0.00648 0.009 -0.017 0.026 0.0166
"TGFB1" 1 -0.136 -0.136 0 1
"TGFB1I1" 0.00677 0.01 -0.016 0.026 0.017
"TGFB2" 0.346 0.003 -0.011 0.014 0.542
"TLR2" 0.518 -0.009 -0.002 -0.007 0.741
"TLR4" 9.77e-11 0.033 -0.042 0.075 2.18e-09
"TMIGD3" 1 0 0 0 1
"TNFAIP3" 0.00555 0.017 -0.024 0.042 0.0147
"TNFSF8" 0.304 0.002 -0.009 0.011 0.485
"TOP2A" 0.0202 -0.014 0.007 -0.02 0.0464
"TRIM52" 0.362 -0.009 -0.002 -0.007 0.553
"TSSK4" 1 0 0 0 1
"VGLL3" 5.25e-06 0.031 -0.039 0.07 2.73e-05
"ZC3H8" 1 0 0 0 1
"ZEB1" 3.65e-05 0.025 -0.031 0.056 0.000142
"ZEB2" 4.53e-07 0.026 -0.032 0.059 3.92e-06
"ZNF133" 0.893 -0.007 -0.004 -0.003 1
"ZNF169" 1 0 0 0 1
"ZNF19" 1 0 0 0 1
"ZNF23" 0.0381 -0.03 0.002 -0.032 0.0826
"ZNF276" 0.55 -0.01 -0.001 -0.008 0.78
"ZNF337" 0.404 -0.004 -0.002 -0.003 0.606
"ZNF354B" 1 0 0 0 1
"ZNF469" 1 0 0 0 1
"ZNF688" 0.00473 -0.019 0.01 -0.029 0.0129
"ZNF692" 2.16e-06 -0.018 0.013 -0.031 1.35e-05
"ZNF785" 1 0 0 0 1
"ZNF789" 1 0 0 0 1
"ZNF862" 0.461 0.004 -0.01 0.014 0.679
"ZRANB2" 1 0 0 0 1
